                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2361,                 3.7042,                 1.3394,                0.00329,                0.98765,                0.39145,                 0.2829,                      0,                    inf,                      0,                 0.0847,                 0.0017,                 0.0017
                      1,                0.89764,                  2.364,                 1.0389,                0.01176,                0.98765,                0.93362,                0.71881,                      0,                    inf,                      0,               0.068385,              0.0033845,              0.0033845
                      2,                0.95759,                 1.5496,                 1.0719,                      1,                0.49175,                0.97927,                 0.7577,                      0,                    inf,                      0,                0.05195,              0.0049502,              0.0049502
                      3,                0.99263,                 1.3399,                 1.0524,                      1,                0.58421,                0.96537,                0.74352,                      0,                    inf,                      0,               0.035397,              0.0063971,              0.0063971
                      4,                 1.0028,                  1.207,                 1.0566,                0.96828,                0.75364,                0.92632,                0.67039,                      0,                    inf,                      0,               0.018725,              0.0077252,              0.0077252
                      5,                 0.9661,                 1.1637,                 1.0807,                0.95538,                0.79306,                0.93652,                0.69064,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                      6,                0.91839,                 1.1031,                 1.0549,                0.95796,                0.87654,                0.96703,                0.76998,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                      7,                0.96961,                 1.0967,                 1.0759,                0.93884,                0.91358,                 0.9667,                0.72104,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      8,                0.95051,                 1.0273,                 1.0525,                0.92537,                0.91857,                0.95781,                0.74165,                      0,                    inf,                      0,                0.00769,                0.00769,                0.00769
                      9,                 0.9617,                 1.0323,                 1.0653,                0.97653,                0.93827,                0.98203,                0.75784,                      0,                    inf,                      0,                0.00736,                0.00736,                0.00736
                     10,                0.90404,                0.90878,                 1.0466,                0.91863,                0.96296,                0.97302,                 0.8051,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     11,                0.90833,                0.95204,                 1.0628,                0.94633,                0.96296,                0.96354,                  0.794,                      0,                    inf,                      0,                 0.0067,                 0.0067,                 0.0067
                     12,                0.92302,                0.88251,                 1.0592,                0.98051,                0.92593,                   0.98,                0.78669,                      0,                    inf,                      0,                0.00637,                0.00637,                0.00637
                     13,                  0.865,                0.85742,                 1.0299,                0.91425,                0.93827,                 0.9695,                0.77354,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     14,                0.87315,                0.84197,                 1.0191,                0.95421,                0.92593,                 0.9688,                0.74386,                      0,                    inf,                      0,                0.00571,                0.00571,                0.00571
                     15,                0.82499,                0.80524,                0.99804,                0.96429,                0.95062,                0.97947,                0.81036,                      0,                    inf,                      0,                0.00538,                0.00538,                0.00538
                     16,                0.79679,                0.76168,                0.99362,                      1,                 0.9753,                 0.9784,                 0.7687,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     17,                0.85716,                0.80204,                 1.0307,                0.98762,                0.98476,                0.98346,                0.77476,                      0,                    inf,                      0,                0.00472,                0.00472,                0.00472
                     18,                0.84313,                0.76821,                 1.0204,                0.99962,                0.96296,                0.98458,                0.78458,                      0,                    inf,                      0,                0.00439,                0.00439,                0.00439
                     19,                0.80369,                0.73872,                0.99213,                0.97383,                0.97531,                0.98257,                0.80594,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     20,                0.79014,                0.73204,                0.95078,                0.97341,                0.97531,                0.98389,                0.76576,                      0,                    inf,                      0,                0.00373,                0.00373,                0.00373
                     21,                0.72375,                0.66851,                 0.9373,                0.96087,                0.97531,                0.98357,                0.81855,                      0,                    inf,                      0,                 0.0034,                 0.0034,                 0.0034
                     22,                0.71025,                0.63203,                0.94891,                0.98745,                0.97106,                0.98532,                0.82864,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     23,                0.67051,                0.60962,                0.90793,                0.99711,                0.98765,                0.98531,                0.83693,                      0,                    inf,                      0,                0.00274,                0.00274,                0.00274
                     24,                0.67047,                0.58765,                0.93008,                0.99897,                0.98765,                 0.9853,                0.82018,                      0,                    inf,                      0,                0.00241,                0.00241,                0.00241
                     25,                0.66448,                0.59675,                 0.9457,                      1,                0.98541,                0.98516,                 0.8128,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     26,                0.64223,                0.58027,                0.88587,                0.98763,                0.98595,                0.98503,                0.81471,                      0,                    inf,                      0,                0.00175,                0.00175,                0.00175
                     27,                0.65924,                0.57562,                0.93293,                0.99974,                0.98765,                0.98522,                0.83203,                      0,                    inf,                      0,                0.00142,                0.00142,                0.00142
                     28,                0.60272,                 0.5563,                0.89638,                0.99946,                0.98765,                0.98513,                0.83452,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     29,                0.59803,                 0.5409,                0.88955,                0.99933,                0.98765,                0.98516,                0.84776,                      0,                    inf,                      0,                0.00076,                0.00076,                0.00076
